date,tweet_sentiment,sentiment_weighted,tweets,attention
6/7/2015,0.188920455,0.188920455,4,1
6/8/2015,-0.041666667,-0.041666667,12,5
6/9/2015,0,0,4,1
6/10/2015,0.054545455,0.054545455,5,0
6/11/2015,-0.192857143,-0.228571429,14,2
6/12/2015,0.182,0.182,5,0
6/13/2015,,,0,0
6/14/2015,0.1,0.1,2,0
6/15/2015,0.166,0.166,5,0
6/16/2015,0.04,0.2,4,4
6/17/2015,0.125,0.125,4,0
6/18/2015,0,0,6,8
6/19/2015,0.04125,0.04125,8,1
6/20/2015,0,0,1,0
6/21/2015,0,0,1,0
6/22/2015,0,0,2,0
6/23/2015,0.047142857,0.047142857,7,6
6/24/2015,0.25,0.25,3,0
6/25/2015,-0.061507937,-0.061507937,7,7
6/26/2015,0.031313131,0.017171717,11,5
6/27/2015,,,0,0
6/28/2015,0,0,2,0
6/29/2015,0.005873016,0.005873016,10,2
6/30/2015,0.083333333,0.166666667,9,10
7/1/2015,0.015740741,0.015740741,6,0
7/2/2015,-0.038888889,-0.038888889,4,0
7/3/2015,-0.04402091,-0.049515415,13,1
7/4/2015,-0.035714286,-0.035714286,2,0
7/5/2015,-0.035714286,-0.035714286,2,0
7/6/2015,-0.071428571,-0.107142857,5,1
7/7/2015,0.018657407,0.018657407,6,0
7/8/2015,0.038492063,0.220634921,7,8
7/9/2015,0.125,0.125,8,0
7/10/2015,0.083333333,0.083333333,3,0
7/11/2015,,,0,0
7/12/2015,,,0,0
7/13/2015,0.096969697,0.125541126,7,1
7/14/2015,-0.019444444,-0.019444444,4,0
7/15/2015,-0.021843434,-0.021843434,4,1
7/16/2015,0.035714286,0.035714286,7,5
7/17/2015,0.151666667,0.151666667,6,0
7/18/2015,,,0,0
7/19/2015,0,0,2,0
7/20/2015,0.146909091,0.170545455,5,1
7/21/2015,0.087532468,0.087532468,14,3
7/22/2015,0.005555556,0.005555556,3,1
7/23/2015,0.036666667,0.021666667,10,4
7/24/2015,0.038468013,0.038468013,6,1
7/25/2015,0,0,1,0
7/26/2015,0,0,1,0
7/27/2015,0.013886484,0.013886484,14,6
7/28/2015,0.074182299,0.115848966,6,1
7/29/2015,0.15,0.15,5,3
7/30/2015,-0.089699074,-0.089699074,6,0
7/31/2015,-0.051851852,-0.051851852,3,2
8/1/2015,0,0,6,1
8/2/2015,,,0,0
8/3/2015,0.063055556,0.063055556,8,2
8/4/2015,0.05,0.05,5,0
8/5/2015,0.102356902,0.074579125,6,1
8/6/2015,0.041919192,0.154040404,11,4
8/7/2015,-0.1875,-0.1875,4,1
8/8/2015,,,0,0
8/9/2015,0,0,1,2
8/10/2015,-0.025,-0.1125,4,3
8/11/2015,0.037234459,0.099644049,162,221
8/12/2015,0.056888415,0.236670622,215,286
8/13/2015,0.021959543,0.040075074,120,79
8/14/2015,0.070204377,0.139619192,75,62
8/15/2015,0.113752914,0.298368298,13,7
8/16/2015,0,0,8,0
8/17/2015,0.006147876,0.008435458,34,27
8/18/2015,0.050825496,0.085308255,29,23
8/19/2015,0.091750842,0.091750842,18,9
8/20/2015,0.048315106,0.06410458,19,5
8/21/2015,0.018220668,0.041297591,26,16
8/22/2015,0,0,2,1
8/23/2015,0.164285714,0.278571429,2,1
8/24/2015,0.006554046,0.002188552,29,6
8/25/2015,0.038462208,0.038462208,29,12
8/26/2015,0.052070707,0.203700044,23,28
8/27/2015,0.048958333,0.111458333,8,8
8/28/2015,0.1,0.4,8,5
8/29/2015,0,0,5,2
8/30/2015,0.5,0.5,1,0
8/31/2015,0.198875,1.51275,10,17
9/1/2015,0.010714286,0.010714286,14,14
9/2/2015,0.051190476,0.069047619,14,8
9/3/2015,0.069351852,0.086018519,9,22
9/4/2015,0.254545455,0.254545455,11,7
9/5/2015,0.268181818,0.214335664,13,7
9/6/2015,0,0,6,4
9/7/2015,0.112878788,0.202878788,10,5
9/8/2015,0.040927128,0.046482684,15,23
9/9/2015,0.107373737,0.107373737,9,0
9/10/2015,0.024027113,0.079290271,19,7
9/11/2015,0.124444444,0.124444444,6,0
9/12/2015,-0.041666667,-0.041666667,2,0
9/13/2015,0.2,0.2,2,0
9/14/2015,0.0140625,0.0421875,16,13
9/15/2015,0.015178571,0.015178571,7,8
9/16/2015,-0.2,-0.6,5,6
9/17/2015,0.008333333,0.016666667,6,6
9/18/2015,0.125,0.125,4,0
9/19/2015,-0.005092593,-0.015277778,3,3
9/20/2015,0.33,0.33,1,0
9/21/2015,0.018888889,0.018888889,5,0
9/22/2015,0.079375,0.079375,8,3
9/23/2015,0.09464795,0.09464795,17,5
9/24/2015,0.191818182,0.255738636,8,2
9/25/2015,-0.337662338,-0.837662338,7,8
9/26/2015,0,0,2,0
9/27/2015,-0.6,-0.6,1,0
9/28/2015,0.06787037,0.109074074,3,3
9/29/2015,0.0475,0.0375,5,5
9/30/2015,0.1325,0.1325,4,0
10/1/2015,0.063518519,0.067222222,6,9
10/2/2015,0.004464286,0.004464286,8,2
10/3/2015,0,0,1,0
10/4/2015,-0.05,-0.05,2,0
