,Date,Actual,Pred
135,2018-10-23,6.9338,6.929779999999999
136,2018-10-24,6.9357,6.932049999999999
137,2018-10-25,6.9409,6.934150000000001
138,2018-10-26,6.951,6.92954
139,2018-10-29,6.9377,6.92742
140,2018-10-30,6.9574,6.92954
141,2018-10-31,6.9646,6.932259999999999
142,2018-11-01,6.967,6.932539999999999
143,2018-11-02,6.9371,6.93176
144,2018-11-05,6.8976,6.931519999999999
145,2018-11-06,6.9075,6.924049999999999
146,2018-11-07,6.9065,6.916819999999999
147,2018-11-08,6.9163,6.922489999999999
148,2018-11-09,6.9329,6.92727
149,2018-11-12,6.9476,6.92812
150,2018-11-13,6.9629,6.929329999999998
151,2018-11-14,6.9402,6.928189999999999
152,2018-11-15,6.9392,6.92842
153,2018-11-16,6.9377,6.92842
154,2018-11-19,6.9245,6.92923
155,2018-11-20,6.928,6.92906
156,2018-11-21,6.9449,6.92906
157,2018-11-22,6.9391,6.92923
158,2018-11-23,6.9306,6.92923
159,2018-11-26,6.9453,6.92906
160,2018-11-27,6.9463,6.928689999999999
161,2018-11-28,6.95,6.929329999999998
162,2018-11-29,6.9353,6.928189999999999
163,2018-11-30,6.9357,6.92842
164,2018-12-03,6.9431,6.929329999999998
165,2018-12-04,6.8939,6.924759999999999
166,2018-12-05,6.8476,6.8805499999999995
167,2018-12-06,6.8599,6.890770000000001
168,2018-12-07,6.8664,6.8732500000000005
169,2018-12-10,6.8693,6.863149999999999
170,2018-12-11,6.8996,6.88969
171,2018-12-12,6.9064,6.890690000000001
172,2018-12-13,6.8769,6.87701
173,2018-12-14,6.875,6.8749899999999995
174,2018-12-17,6.8908,6.8914
175,2018-12-18,6.8854,6.882149999999998
176,2018-12-19,6.8869,6.887449999999999
177,2018-12-20,6.8936,6.89272
178,2018-12-21,6.8825,6.8842799999999995
179,2018-12-24,6.9006,6.893220000000001
180,2018-12-25,6.8919,6.88702
181,2018-12-26,6.8845,6.885549999999999
182,2018-12-27,6.8894,6.894030000000001
183,2018-12-28,6.8632,6.85524
184,2019-01-02,6.8482,6.8651800000000005
185,2019-01-03,6.8631,6.879385000000001
186,2019-01-04,6.8586,6.86327
187,2019-01-07,6.8517,6.864870000000001
188,2019-01-08,6.8402,6.846400000000001
189,2019-01-09,6.8526,6.8560550000000005
190,2019-01-10,6.816,6.81555
191,2019-01-11,6.7909,6.809480000000001
192,2019-01-14,6.756,6.800960000000001
193,2019-01-15,6.7542,6.789710000000001
194,2019-01-16,6.7615,6.778059999999999
195,2019-01-17,6.7592,6.76673
196,2019-01-18,6.7665,6.764619999999999
197,2019-01-21,6.7774,6.765369999999999
198,2019-01-22,6.7854,6.77305
199,2019-01-23,6.7969,6.7773200000000005
200,2019-01-24,6.7802,6.76601
201,2019-01-25,6.7941,6.776940000000001
202,2019-01-28,6.7472,6.75874
203,2019-01-29,6.7356,6.7468
204,2019-01-30,6.7343,6.742009999999999
205,2019-01-31,6.7025,6.72293
206,2019-02-01,6.7081,6.7174700000000005
207,2019-02-11,6.7495,6.72304
208,2019-02-12,6.7765,6.736490000000001
209,2019-02-13,6.7675,6.742580000000001
210,2019-02-14,6.7744,6.74973
211,2019-02-15,6.7623,6.74209
212,2019-02-18,6.7659,6.75547
213,2019-02-19,6.7642,6.756829999999999
214,2019-02-20,6.7558,6.74389
215,2019-02-21,6.722,6.73251
216,2019-02-22,6.7151,6.721940000000001
217,2019-02-25,6.7131,6.716760000000001
218,2019-02-26,6.6952,6.71173
219,2019-02-27,6.6857,6.709919999999999
220,2019-02-28,6.6901,6.69191
221,2019-03-01,6.6957,6.692750000000001
222,2019-03-04,6.7049,6.696060000000001
223,2019-03-05,6.6998,6.688890000000001
224,2019-03-06,6.7053,6.691770000000001
225,2019-03-07,6.711,6.694180000000001
226,2019-03-08,6.7235,6.706859999999999
227,2019-03-11,6.7202,6.70763
228,2019-03-12,6.7128,6.70763
229,2019-03-13,6.7114,6.7078999999999995
230,2019-03-14,6.7009,6.70258
231,2019-03-15,6.7167,6.7078999999999995
232,2019-03-18,6.7088,6.70723
233,2019-03-19,6.7062,6.702250000000001
234,2019-03-20,6.7101,6.704299999999999
235,2019-03-21,6.685,6.67121
236,2019-03-22,6.6944,6.68283
237,2019-03-25,6.7098,6.6875
238,2019-03-26,6.7042,6.6777
239,2019-03-27,6.7141,6.6883099999999995
240,2019-03-28,6.7263,6.706859999999999
241,2019-03-29,6.7335,6.708129999999999
